Id,Title,Geography,Geography ISO,Jurisdiction,Citation Reference Number,Responses,At issue,Connected Internal Laws,Connected External Laws,Sectors,Side A,Side B,Side C,Events,Summary
7458,"Asociación Civil por la Justicia Ambiental v. Province of Entre Ríos, et al.",Argentina,ARG,Supreme Court,"",Adaptation;Mitigation,Whether different governmental entities are responsible for the burning of a wetland ecosystem and must take immediate action to protect the environment and citizens’ health.,"",Paris Agreement|;United Nations Convention on the Rights of the Child|;General Environmental Law No. 25.675|http://www.opds.gba.gov.ar/sites/default/files/LEY%2025675.pdf;Argentinian Constitution|http://servicios.infoleg.gob.ar/infolegInternet/anexos/0-4999/804/norma.htm;Environmental Law to Control Burning Activities No. 23.919|http://servicios.infoleg.gob.ar/infolegInternet/anexos/0-4999/319/norma.htm,Cross Cutting Area,Asociación Civil por la Justicia Ambiental|ngo,Province of Entre Ríos and others|government,"",03/07/2020|Class action filed||;11/08/2020|Decision issued|Supreme Court issued first decision in one related case.|;28/12/2021|Decision issued| Supreme Court decided to combine all the related cases and will hand down one decision|,"In late Fall 2020, the uncontrolled burning of pastures in a Ramsar’s wetland ecosystem (Delta del Paraná) created a serious environmental conflict between different provinces of Argentina. This conflict gave place to several lawsuits seeking protection for the ecosystem, including injunctions and damages for environmental and health consequences of the fires. One of these claims introduced climate concerns.<br><br></div><div>On July 03, 2020, two NGOs and a group of children represented by their parents filed a constitutional collective claim (amparo colectivo ambiental) against three Argentinean Provinces and a Municipality. The plaintiffs allege that the government entities are failing in their duties regarding the protection and sound environmental management of the inter-jurisdictional ecosystem, which is key for mitigation and adaptation of climate change while also being at risk due to its negative impacts. The complaint asks the Supreme Court to (i) declare the ecosystem as an entity subject to rights, (ii) order the defendants to prepare and implement a coordinated environmental management and land use plan that recognizes the vulnerability of the ecosystem and its relevance for future generations, (iii) designate a ‘guardian’ for the entity, responsible for monitoring its conservation and sustainable use, as well as informing the Supreme Court about the enforcement of the judgment, and (iv) order that broad, early and effective public participation is guaranteed in any decision-making regarding the future management of the ecosystem. The complaint relies primarily on the Argentinian constitution, the Convention on the Rights of the Child, the UNFCCC, the Paris Agreement, General Environmental Law No. 25.675 and Environmental Law to Control Burning Activities No. 23.919. The complaint also references laws in other countries recognizing the rights of nature, rivers, and other non-human entities.&nbsp;<br><br></div><div>On 11 August 2020, the Supreme Court made a first decision in one related case (Equística Defensa del Medio Ambiente v. Provincia de Santa Fe y ots). In the decision, the Supreme Court referred to Law 27.520 (Climate Change Adaptation and Mitigation Law) as a principal Law for the case and ordered the creation of an Environmental Emergency Committee and the submission of relevant information about the environmental problem and its management.<br><br></div><div>On 28 December 2021, the Supreme Court decided to combine all the related cases and informed that it will hand down a single judgment for all.<br><br>"
7473,OAAA v. Araucaria Energy SA.,Argentina,ARG,Federal Court of Mercedes,,Mitigation,Plaintiffs sought to block thermoelectric plant,"",Paris Agreement|;General Environmental Law No. 25.675|http://www.opds.gba.gov.ar/sites/default/files/LEY%2025675.pdf;Argentinian Constitution|http://servicios.infoleg.gob.ar/infolegInternet/anexos/0-4999/804/norma.htm;Kyoto Protocol|https://unfccc.int/resource/docs/convkp/kpeng.pdf,Energy,Organización de Ambientalistas Autoconvocados|ngo,Araucaria Energy SA|corporation,"",07/01/2018|Complaint filed,"In July 2018, an environmental group brought a preventive action against the thermoelectric power station Lujan II, located in the Argentinian city of Luján. The petition seeks to block the plant on the ground that the environmental assessment of the plant was flawed, and the plant is inconsistent with international climate agreements such as the Kyoto Protocol and the Paris Agreement because it will use fossil fuels. The complaint also relies on Argentina's civil code, Constitution and General Law of the Environment, as well as a number of international human rights treaties."
7482,"FOMEA v. MSU S.A., Rio Energy S.A., & General Electric",Argentina,ARG,Federal Court of San Nicolás,,Mitigation,Petition sought to block thermoelectric plant,"",Paris Agreement|;General Environmental Law No. 25.675|http://www.opds.gba.gov.ar/sites/default/files/LEY%2025675.pdf;Argentinian Constitution|http://servicios.infoleg.gob.ar/infolegInternet/anexos/0-4999/804/norma.htm;Kyoto Protocol|https://unfccc.int/resource/docs/convkp/kpeng.pdf,Energy,FOMEA|ngo,MSU S.A.|corporation;Rio Energy S.A.|corporation;General Electric|corporation,"",17/05/2017|Case filed,"In May 2017 the environmental group FOMEA brought a preventive action against the thermoelectric power station MSU S.A. - Rio Energy S.A. and against General Electric International, inc. for its plant located in the city of San Nicolás in Buenos Aires, Argentina. The petition seeks to block the plant on the ground that its construction began without a required environmental certificate, and the plant is inconsistent with international climate agreements such as the Kyoto Protocol and the Paris Agreement because it will use fossil fuels. The complaint also relies on Argentina's civil code, Constitution and General Law of the Environment, as well as a number of international human rights treaties."
7483,Hahn et al. v. APR Energy S.R.L,Argentina,ARG,Federal Court of Campana,,Mitigation,Plaintiffs sought to block thermoelectric plant,"",Paris Agreement|;Argentinian Constitution|http://servicios.infoleg.gob.ar/infolegInternet/anexos/0-4999/804/norma.htm;Kyoto Protocol|https://unfccc.int/resource/docs/convkp/kpeng.pdf,Energy,Hahn and others|individual_ngo,APR Energy S.R.L|corporation,"",29/11/2017|Case filed,"On November 29, 2017, a coalition of individuals and nonprofits brought a preventive action against the thermoelectric power station Matheu II, located in the Argentinian city of Pilar. The petition seeks to block the plant on the ground that its construction began without a required environmental assessment, and the plant is inconsistent with international climate agreements such as the Kyoto Protocol and the Paris Agreement because it will use fossil fuels. The complaint also relies on Argentina's civil code, Constitution and General Law of the Environment, as well as a number of international human rights treaties."
7484,Hahn et al. v. Araucaria Energy Sociedad Anonima (II),Argentina,ARG,Federal Court of Campana,,Mitigation,Plaintiffs sought to block thermoelectric plant,"",Paris Agreement|;General Environmental Law No. 25.675|http://www.opds.gba.gov.ar/sites/default/files/LEY%2025675.pdf;Argentinian Constitution|http://servicios.infoleg.gob.ar/infolegInternet/anexos/0-4999/804/norma.htm;Kyoto Protocol|https://unfccc.int/resource/docs/convkp/kpeng.pdf,Energy,Hahn and others|individual_ngo,APR Energy S.R.L|corporation,"",20/12/2017|Case filed,"On December 20, 2017, a coalition of individuals and nonprofits brought a preventive action against the thermoelectric power station Matheu II, located in the Argentinian city of Pilar. The petition seeks to block the plant on the ground that its construction is supported by a flawed environmental assessment, and the plant is inconsistent with international climate agreements such as the Kyoto Protocol and the Paris Agreement because it will use fossil fuels. The complaint also relies on Argentina's civil code, Constitution and General Law of the Environment, as well as a number of international human rights treaties."
7485,"Carballo et al. v. MSU S.A., UGEN S.A., & General Electric",Argentina,ARG,Federal Court of Azul,,Mitigation,Plaintiffs sought to block thermoelectric plant,"",Paris Agreement|;General Environmental Law No. 25.675|http://www.opds.gba.gov.ar/sites/default/files/LEY%2025675.pdf;Argentinian Constitution|http://servicios.infoleg.gob.ar/infolegInternet/anexos/0-4999/804/norma.htm;Kyoto Protocol|https://unfccc.int/resource/docs/convkp/kpeng.pdf,Energy,Carballo and others|individual_ngo,MSU S.A.|corporation;UGEN S.A.|corporation;General Electric|corporation,"",01/07/2017|Case filed,"In July 2017, a coalition of individuals and nonprofits brought a preventive action against UGEN SA and General Electric International to against the thermoelectric power station in the city of Barker, province of Buenos Aires, Argentina. The petition seeks to block the plant on the ground that the environmental assessment of the plant was flawed, and the plant is inconsistent with international climate agreements such as the Kyoto Protocol and the Paris Agreement because it will use fossil fuels. The complaint also relies on Argentina's civil code, Constitution and General Law of the Environment, as well as a number of international human rights treaties."
7486,Carballo et al. v. State of the Province of Buenos Aires and the Provincial Agency for Sustainable Development,Argentina,ARG,Administrative Court of Azul,,Mitigation,Plaintiffs alleged irregularities in permitting for thermoelectric plant.,"",Paris Agreement|;General Environmental Law No. 25.675|http://www.opds.gba.gov.ar/sites/default/files/LEY%2025675.pdf,Energy,Carballo and others|individual_ngo,State of the Province of Buenos Aires|corporation;Provincial Agency for Sustainable Development|corporation,"",20/10/2017|Case filed,"On October 20, 2017, a coalition of individuals filed an action against the Province of Buenos Aires and the Provincial Agency for Sustainable Development alleging irregularities in the environmental authorization for the UGEN SA thermoelectric plant, located in the city of Barker, province of Buenos Aires, Argentina. The complaint relies on the Paris Agreement as well as a number of international human rights treaties."
7598,Guillermo Tristan Montenegro v. Ministry of Environment and Sustainable Development,Argentina,ARG,Federal Court of Mar del Plata N. 2,FMP 98/2022,Mitigation,Whether the Ministry of Environment and Sustainable Development decision to approve the offshore exploration of fossil fuels must be halted and declared null and void for its impacts on climate change.&nbsp;,"",Paris Agreement|;Argentinian Constitution|http://servicios.infoleg.gob.ar/infolegInternet/anexos/0-4999/804/norma.htm,Energy,Guillermo Tristan Montenegro|individual_government,Ministry of Environment and Sustainable Development|government,"",13/01/2022|Filing Date||,"On December 30, 2021, the Ministry of Environment and Sustainable Development published Resolution 436/2021 approving the implementation of an offshore seismic acquisition project submitted by the Norwegian company Equinor. This approval of offshore fossil fuel exploration resulted in several lawsuits seeking an injunction to halt the project and an order declaring the approval’s regulations null and void. Some of those lawsuits are, partially, grounded on climate concerns. Other relevant cases can be found <a href=""http://climatecasechart.com/climate-change-litigation/non-us-case/greenpeace-argentina-et-al-v-argentina-et-al/"">here</a> and <a href=""http://climatecasechart.com/climate-change-litigation/non-us-case/organizacion-de-ambientalistas-organizados-v-ministry-of-environment-and-sustainable-development/"">here</a>.<br><br></div><div>On January 13, 2022, the Mayor of the City of Mar del Plata filed a constitutional collective action (amparo colectivo ambiental) against the Ministry of Environment and Sustainable Development for its approval of the offshore exploration activities. Among other concerns regarding access to environmental information and participation in the decision making-process (citing the Escazú Agreement), the claim mentions that the project undermines Argentina’s international climate commitments (UNFCCC, Paris Agreement, and NDC to the Paris Agreement), that the NDC is not sufficiently ambitious, that the National Adaptation and Mitigation Plan is missing, and that, ultimately, there is regulatory incoherence between the project and the climate pledges.&nbsp;"
7599,Organización de Ambientalistas Organizados v. Ministry of Environment and Sustainable Development,Argentina,ARG,Federal Court of Mar del Plata N. 2,FMP 70/2022,Mitigation,Whether the Ministry of Environment and Sustainable Development decision to approve the offshore exploration of fossil fuels must be halted and declared null and void for its impacts on the Southern Right Whale and climate change.,"",Paris Agreement|;Argentinian Constitution|http://servicios.infoleg.gob.ar/infolegInternet/anexos/0-4999/804/norma.htm,Energy;Environment,Organización de Ambientalistas Organizados|ngo,Ministry of Environment and Sustainable Development|government,"","07/01/2022|Filing Date||;14/01/2022|Original Claim Combined With Other Case|Claim was combined by the Federal Court of Mar del Plata N. 2 with another lawsuit (Godoy, Ruben v. Estado Nacional) not grounded on climate concerns.|","On December 30, 2021, the Ministry of Environment and Sustainable Development published Resolution 436/2021 approving the implementation of an offshore seismic acquisition project submitted by the Norwegian company Equinor. This approval of offshore fossil fuel exploration resulted in several lawsuits seeking an injunction to halt the project and an order declaring the approval’s regulations null and void. Some of those lawsuits are, partially, grounded on climate concerns. Other relevant cases can be found <a href=""http://climatecasechart.com/climate-change-litigation/non-us-case/guillermo-tristan-montenegro-v-ministry-of-environment-and-sustainable-development/"">here</a> and <a href=""http://climatecasechart.com/climate-change-litigation/non-us-case/greenpeace-argentina-et-al-v-argentina-et-al/"">here</a>.<br><br></div><div>On January 7, 2022, the NGO ‘Organización de Ambientalistas Organizados’ sued the Ministry of Environment and Sustainable Development for its approval of the offshore exploration activities. Initially, the claim was presented as a habeas corpus for the protection of the Southern Right Whale and its habitats, but after the dismissal of the claim by the Federal Court, the Court of Appeal admitted it and asked for its conversion into a constitutional collective action (amparo ambiental colectivo). The main focus of the new claim remained the protection of the Southern Right Whale, but also introduced concerns regarding the climate impacts of the project. On these issues, the lawsuit refers to the urgency raised by the IPCC reports, the project’s incompatibility with the available carbon budget (citing the 2021 International Energy Agency reports), the Argentinian NDC, and, more generally, the Paris Agreement and Sustainable Development Goals.&nbsp;<br><br></div><div>On January 14, 2022, the claim was combined by the Federal Court of Mar del Plata N. 2 with another lawsuit (Godoy, Ruben v. Estado Nacional) not grounded on climate concerns.&nbsp;<br><br>On February 11, 2022, the Federal Court of Mar del Plata ordered a halt to the fossil fuel exploration activities. The order does not make any mention of climate change concerns. Instead, the judge focuses on failures regarding procedural rights (participation and information) with explicit mention of the Escazú Agreement, lack of strategic environmental assessment, and possible risk to marine biodiversity. In the decision, the precautionary principle plays a key role. On February 15, 2022, the government filed an appeal to the injunction order. In its appeal, the government is also asking for the removal of the judge from the case. On February 18, 2022, a different judge (Federal Court of Mar del Plata N.4) allowed the appeal to proceed with suspensive effect. That means that the exploration activity can go ahead until the Federal Court of Appeal revises the injunction order.&nbsp;"
7600,"Greenpeace Argentina et. al., v. Argentina et. al.",Argentina,ARG,Federal Court of Mar del Plata N. 2,FMP 105/202,Adaptation;Mitigation,Whether the Ministry of Environment and Sustainable Development decision to approve the offshore exploration of fossil fuels must be halted and declared null and void for its impacts on climate change.,"",Paris Agreement|;Argentinian Constitution|http://servicios.infoleg.gob.ar/infolegInternet/anexos/0-4999/804/norma.htm,Energy,Greenpeace Argentina et. al.|ngo,Argentinian National State|government;Ministry of Environment and Sustainable Development of Argentina|government,"",13/01/2022|Filing Date||,"On December 30, 2021, the Ministry of Environment and Sustainable Development published Resolution 436/2021 approving the implementation of an offshore seismic acquisition project submitted by the Norwegian company Equinor. This approval of offshore fossil fuel exploration resulted in several lawsuits seeking an injunction to halt the project and an order declaring the approval’s regulations null and void. Some of those lawsuits are, partially, grounded on climate concerns. Other relevant cases can be found <a href=""http://climatecasechart.com/climate-change-litigation/non-us-case/guillermo-tristan-montenegro-v-ministry-of-environment-and-sustainable-development/"">here</a> and <a href=""http://climatecasechart.com/climate-change-litigation/non-us-case/organizacion-de-ambientalistas-organizados-v-ministry-of-environment-and-sustainable-development/"">here</a>.<br><br></div><div>On January 13, 2022, a group of NGOs filed a constitutional collective action (amparo colectivo ambiental) against the Argentinian National State and the Ministry of Environment and Sustainable Development for its approval of the offshore exploration activities. This case presents the climate impacts of the projects as the main grounds for its claims. Among others, plaintiffs mention that the project breaches national and international climate commitments and affects intergenerational equity, that the NDC to the Paris Agreement is insufficient, that the State is responsible not only for emissions within its territory but also for emissions arising from future fossil fuels exports, and that the Environmental Impact Assessment is flawed because it did not consider climate impacts.&nbsp;<br><br>Notably, this claim refers to high-profile climate cases in other jurisdictions, like Urgenda (the Netherlands), Neubauer (Germany), Sharma (Australia); Earthlife Africa Johannesburg (South Africa); Gray and Gloucester Resources (Australia) and Greenpeace Nordic (Norway).&nbsp;<br><br>On January 14, 2022, all the three climate lawsuits against the offshore exploration activities (together with other non-climate related cases) were combined, and the court will hand down a single judgment for all.&nbsp;<br><br></div><div>On February 11, 2022, the Federal Court of Mar del Plata ordered a halt to the fossil fuel exploration activities. The order does not make any mention of climate change concerns. Instead, the judge focuses on failures regarding procedural rights (participation and information) with explicit mention of the Escazú Agreement, lack of strategic environmental assessment, and possible risk to marine biodiversity. In the decision, the precautionary principle plays a key role. On February 15, 2022, the government filed an appeal to the injunction order. In its appeal, the government is also asking for the removal of the judge from the case. On February 18, 2022, a different judge (Federal Court of Mar del Plata N.4) allowed the appeal to proceed with suspensive effect. That means that the exploration activity can go ahead until the Federal Court of Appeal revises the injunction order.&nbsp;"
