Case Name,Filing Year,Description,Case Categories,Principal Laws
"TransCanada Keystone Pipeline, LP v. Kerry",2016,"Challenge to Obama administration denial of presidential permit for Keystone XL Pipeline.
",Constitutional Claims>Other Constitutional Claims,Article I (U.S. Constitution)|Article II (U.S. Constitution)
Americans for Clean Energy v. EPA,2016,"Challenge to EPA's final renewable fuel standard rule for 2014, 2015, and 2016.",Federal Statutory Claims>Clean Air Act>Industry Lawsuits>Renewable Fuel Standards,Clean Air Act (CAA)|Energy Independence and Security Act (EISA)
WildEarth Guardians v. Jewell,2015,Challenge to federal approval of mining plan for development of federally owned coal in Colorado.,Federal Statutory Claims>NEPA,National Environmental Policy Act (NEPA)
Center for Biological Diversity v. Federal Highway Administration,2016,Challenge to approval of a highway project in Riverside County in California.,Federal Statutory Claims>NEPA|Federal Statutory Claims>Other Statutes and Regulations,National Environmental Policy Act (NEPA)|Department of Transportation Act (Section 4(f))
Idaho Conservation League v. U.S. Forest Service,2016,Challenge to approval of mine exploration project in Boise National Forest.,Federal Statutory Claims>NEPA|Federal Statutory Claims>Other Statutes and Regulations,National Environmental Policy Act (NEPA)|National Forest Management Act (NFMA)|Forest Service Organic Act
Murray Energy Corp. v. Administrator of Environmental Protection Agency,2014,Action to compel EPA to undertake evaluation of Clean Air Act administration and enforcement on employment.,Federal Statutory Claims>Clean Air Act>Industry Lawsuits>Other Regulation,Clean Air Act (CAA)
California ex rel. South Coast Air Quality Management District v. Southern California Gas Co.,2016,Action against owner and operator of a leaking natural gas storage facility in California seeking civil penalties for creation of public nuisance.,State Law Claims>Enforcement Cases,State Law—Nuisance|State Law—Air Statutes
California v. Southern California Gas Co.,2015,"Action by city, county, and state against the owner and operator of a leaking natural gas storage facility in California seeking penalties and injunctive relief.",State Law Claims>Enforcement Cases,State Law—Nuisance|State Law—Unfair Competition|State Law—Air Statutes
West Virginia v. EPA,2015,Challenge to EPA's final Clean Power Plan rule.,Federal Statutory Claims>Clean Air Act>Industry Lawsuits>Clean Power Plan,Clean Air Act (CAA)
California Clean Energy Committee v. County of Placer,2011,Challenge to ski resort expansion project.,State Law Claims>Environmentalist Lawsuits|State Law Claims>State Impact Assessment Laws,California Environmental Quality Act (CEQA)
Environmental Defense Center v. Bureau of Safety and Environmental Enforcement,2014,Challenge to approvals of applications for permits for offshore drilling.,Federal Statutory Claims>NEPA,National Environmental Policy Act (NEPA)
Idaho Rivers United v. United States Army Corps of Engineers,2014,Challenge to approvals of dredging plans for lower Snake River.,Adaptation>Reverse Impact Assessment|Federal Statutory Claims>NEPA,National Environmental Policy Act (NEPA)|Clean Water Act (CWA)
Maryland Office of People’s Counsel v. Maryland Public Service Commission,2015,"Petition for review of Maryland Public Service Commission’s approval of a merger between utility and energy generating companies.
",State Law Claims>Utility Regulation,State Law—Utilities Laws
